text,label,language
"(c) If the Franchisee fails to maintain the Franchised Restaurant in conformance with the Current Image as required by Sections 5.3.1 and 5.3.2 hereof, or to remodel, improve and alter the Franchised Restaurant as required in Section 5.3.3 hereof, and does not cure such failure within ninety (90) days of delivery of written notice of such failure.",general,english
"This Agreement shall be governed by, and construed and interpreted in accordance with, the laws of the State of Delaware, without reference to its conflicts of laws principles.",governing_law,english
"Chan Chief Executive Officer American Champion Media, Inc.",general,english
"This Agreement sets forth the entire Agreement of the parties hereto, and any and all prior agreements, to the extent inconsistent herewith, are hereby superseded. This Agreement will be governed by the laws of the State of Pennsylvania.",governing_law,english
"During the term of this Agreement, and subject to the terms and conditions hereof, STAAR hereby grants to Distributor, and Distributor hereby accepts, the limited, nontransferable, nonexclusive right and license to use the trade name, trademarks, and logos of STAAR (collectively, ""Trademarks""), without the right to grant sublicenses, solely in connection with the marketing, distribution and sale of the Products in the Territory pursuant to this Agreement.",license_grant,english
This Agreement shall terminate immediately upon El Pollo Loco's receipt of Developer's notice to terminate.,termination,english
"Company shall maintain Products Liability Insurance and in an amount satisfactory to Contractor, under which Contractor is named as an additional insured.",insurance,english
". An Audit Report shall become final and binding on the Parties thirty (30) days following MMT's receipt thereof, unless MMT delivers written notice of its agreement thereto (in which case such Audit Report shall become final and binding on the date of delivery of such notice of agreement) or written notice of its disagreement thereto (""Notice of Disagreement"") to SIGA in either case on or prior to such date.",audit_rights,english
"Solely in the case of termination of this Agreement by Achaogen under Section 9.3 (Termination for Cause): 9.4.4.1 Microgenics hereby grants Achaogen a Transfer License; provided, that, Achaogen covenants not to use the Transfer License beyond the scope set forth in Section 1.33.",license_grant,english
All such insurance is outstanding and duly in force on the date hereof and will be outstanding and duly in force on the Commencement Date and the Remarketing Settlement Date.,insurance,english
"Diplomat agrees that it will obtain, at its own expense, product liability insurance from a recognized insurance company which is qualified to do business in the State of California providing adequate protection (at least in the amount of $ ) for KI, Inc., KI and Diplomat against any claims, suits, loss or damage arising out of any alleged defects in the products.",insurance,english
"EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF SECTION 8, NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES",liability_cap,english
"During the Term, CNET will not enter into more than two other agreements under which CNET receives consideration from a Competing Computer Products Retailer for displaying permanent links to or other fixed promotions for such Competing Computer Products Retailer on any CNET Site; provided that the foregoing will not restrict the display of(a) standard advertisements for any Competing Computer Products Retailer or its products or (b) any promotions within COMPUTERS.COM or within CNET's Snap! Online service (which are expressly excluded from this provision).",non_compete,english
"The following acts constitute Class C breaches. In the event of any breach below by Party B, Party B shall immediately remedy the breach, and Party A is entitled to request Party B to pay the liquidated damages of an amount from RMB5,000 (RMB FIVE THOUSAND) to RMB50,000 (RMB FIFTY THOUSAND) based on the consequences of the breach, and send the Confirmation Letter on the Breach of the Partner of Xiaoju Online Ride-hailing Marketplace to Party B.",penalty,english
"No more frequently than once per year, a third party auditor chosen by Licensor and approved by Licensee, such approval not to be unreasonably withheld, shall be entitled at any time on reasonable notice to the Licensee to enter, during regular business hours, any premises used by the Licensee or its manufacturers for the manufacture, packaging or storage of the Licensed Products, to inspect such premises, all plant, workforce and machinery used for manufacture, packaging or storage of Licensed Products and all other aspects of the manufacture, packaging and storage of Licensed Products (""Access Rights"")",audit_rights,english
"NEITHER PARTY SHALL BE LIABLE, WHETHER BASED ON CONTRACT LAW, TORTS OR ANY OTHER AREA OF LAW, FOR ANY INDIRECT, INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR IN ANY WAY RELATED TO THIS AGREEMENT OR ITS PERFORMANCE AND THE MAXIMUM TOTAL LIABILITY OF EITHER PARTY WHETHER BASED ON",liability_cap,english
"except as specifically described elsewhere in this agreement, either ITS or COMWARE shall have the right to terminate this Agreement with 30 days written notice from the other party, for any reason whatsoever.",termination,english
"Confidentiality 13.1 Each party undertakes that it shall not at any time, disclose to any person any confidential information concerning the business, affairs, customers, clients or suppliers of the other party or of any member of the group of companies to which the other party belongs, except as provided by clause 13.2.",general,english
"EXCEPT UNDER SECTIONS 13(a) AND 13(b), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. EXCEPT UNDER SECTIONS 13(a) AND 13(b), THE LIABILITY OF EITHER PARTY FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE AMOUNTS TO BE PAID BY CLIENT TO EXCITE HEREUNDER.",liability_cap,english
"The Blue Hills Parties carry, or are covered by, insurance in such amounts and covering such risks as is adequate for the conduct of their respective businesses and the value of their respective properties as is customary for companies engaged in a similar industry.",insurance,english
"The audit shall be at the cost of Monsanto unless any material error has been committed by the Agent, in which case the Agent shall bear the cost of the audit.",audit_rights,english
"Subject to the terms and conditions herein, Licensor hereby grants to Licensee a non-exclusive, non- transferable, and (subject to Section 1.2 hereof) non-sublicensable license for the use of the Brand solely for the Permitted Activity.",license_grant,english
"TO THE MAXIMUM EXTENT PERMITTED BY LAW, IN NO EVENT SHALL EITHER PARTY BE LIABLE OR OBLIGATED IN ANY MANNER FOR ANY SPECIAL, INCIDENTAL, EXEMPLARY OR CONSEQUENTIAL DAMAGES OF ANY KIND ARISING OUT OF OR RELATING TO THIS AGREEMENT (INCLUDING, BUT NOT LIMITED TO, LOST PROFITS, REVENUES OR BUSINESS OPPORTUNITIES) HOWEVER CAUSED AND REGARDLESS OF THE FORM OF ACTION, WHETHER IN CONTRACT, TORT, NEGLIGENCE, STRICT PRODUCT LIABILITY, OR OTHERWISE, EVEN IF THE PARTY HAS BEEN INFORMED OF THE POSSIBILITY OF ANY SUCH DAMAGES IN ADVANCE.",liability_cap,english
"Notwithstanding the foregoing, this Agreement shall be earlier terminated (x) by mutual agreement of the parties, or (y) at any time upon sixty (60) days advance written notice to the other party.",termination,english
"protection, all of which must be acceptable to THC and HSI, and which must name THC and HSI as additional insureds.",insurance,english
"IN NO EVENT SHALL JRVS BE LIABLE FOR COSTS OF PROCUREMENT OF SUBSTITUTE PRODUCTS OR SERVICES, LOST PROFITS OR ANY CONSEQUENTIAL, SPECIAL, INCIDENTAL, OR INDIRECT DAMAGES, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE OR STRICT LIABILITY), ARISING OUT OF THIS AGREEMENT.",liability_cap,english
"In addition, without derogating from any undertaking, warranty or representation of NICE included in the Agreement, Contractor acknowledges and agrees that prior to the entering into this Agreement it has had the ability to perform a due diligence investigation into the manufacturing, production, testing and delivery as performed by NICE up to and including the date hereof, that it has in fact performed such an investigation and that based upon the outcome thereof, it believes that it has the professional and other capabilities to perform the Manufacturing Outsourcing Services as set forth herein in a professional and workmanlike manner.",general,english
"reputation reasonably acceptable to the Repairer, insurances in accordance with industry standards with respect to the undertakings of the Company in Clause 15 (""Liability and Indemnity"") of this Agreement including",insurance,english
"During reasonable business hours IMPCO and MIL/MINDA will have the right to visit, enter and inspect each plant and other establishment at which the JVC manufactures and/or processes the Products. In exercising such right, the Parties will be reasonable.",audit_rights,english
"By any of the PHL Parties, on the one hand, or ICC, on the other, providing one hundred and twenty (120) days prior written notice to the other Parties.",termination,english
"To the extent there is a conflict between the terms of this Agreement and the Transitional Trademark License Agreement, the terms of the Transitional Trademark License Agreement shall control.",general,english
"Verify the fulfilment, in particular, the evolution and implementation, of all the services and applications.",general,english
"This Agreement and all disputes arising out of or related to this Agreement or any breach hereof shall be governed by and construed in accordance with the laws of the State of New York, without giving effect to any choice of law principles that would result in the application of the laws of any other jurisdiction.",governing_law,english
"In no event will either party be liable to the other for special, incidental, or indirect damages or for any consequential damages (including lost profits or savings), even if they are informed of the possibility; provided that this Section 10.0 does not apply to Customer's failure to pay any amounts owing to IBM under this Agreement (including amounts owing for Services that would have been rendered but for Customer's breach of this Agreement).",liability_cap,english
"The Warranty and the Software License shall be governed by and construed in accordance with the laws of the State of California, without reference to principles of conflict of laws.",governing_law,english
"This Agreement may be terminated at any time while the Employee is living by written notice thereof by either the Employer or the Employee to the other; and, in any event, this Agreement will terminate upon termination of the Employee's employment.",termination,english
"Limitation of Liability: In no event shall either party be liable to the other party for incidental, indirect, special and consequential or punitive damages, including without limitation any claims for damages based upon lost profits or lost business opportunity.",liability_cap,english
"Roche shall have the right to terminate the Agreement in its entirety, or on a Work Stream-by-Work Stream basis, except for the ctDNA Work Stream, upon […***…] prior written notice, without cause.",termination,english
"This Agreement may be terminated at any time, without the payment of any penalty, with respect to any series or the Trust, by the Board of Trustees of the Trust, or by the Sponsor, in each case on not less than 60 days' written notice to the other party.",termination,english
"Licensee may terminate this Agreement for convenience upon eighteen (18) months' advance written notice to Bioeq; provided, however, that any such termination for convenience shall not become effective prior to twelve (12) months after the First Commercial Sale of the first Licensed Product.",termination,english
"Moreover, any party hereto may disclose any Confidential Information hereunder to such party's agents, attorneys and other representatives or any court or competent jurisdiction or any other party empowered hereunder as reasonably required to resolve any dispute between the parties hereto.",general,english
"Bellicum acknowledges and agrees that Bellicum's rights to a refund or credit for, or to receive replacement of, properly rejected shipments of Miltenyi Products hereunder shall be Bellicum's sole and exclusive remedy, and Miltenyi's sole obligation, with respect to non-conforming Miltenyi Products delivered hereunder.",liability_cap,english
Developer may also terminate this Agreement by giving two (2) weeks' notice in writing to VAL.,termination,english
"You shall procure and maintain in full force and effect during the term of this Agreement, at Your expense, insurance policies written by an insurance company satisfactory to AIRSOPURE in accordance with standards and specifications set forth in the Operations Manual or otherwise by AIRSOPURE in writing. Such policies shall name AIRSOPURE as an additional insured and shall include, at a minimum: A. Comprehensive general liability insurance in the amount of $1,000,000.00. B. Comprehensive automobile liability insurance, including collision, comprehensive, medical and liability to satisfy state law requirements. C. Additional coverage's and higher policy limits may be required from time to time by AIRSOPURE.",insurance,english
"In addition, we may, at any time and from time to time, contract with one or more software providers, business service providers, or other third parties (individually, a ""Service Provider"") to develop, license, or otherwise provide to or for the use and benefit of you and other The Joint Corp. Franchises certain software, software applications, and software maintenance and support services related to the Computer System that you must or may use in accordance with our instructions with respect to your Computer System.",license_grant,english
"Supplier and its Subcontractors shalt pay any and all costs which are incurred by Bank of America as a result of any such deductibles or self-insured retentions to the extent that Bank of America is named as an ""Additional Insured,"" and to the same extent as if the policies contained no deductibles or self-insured retention.",insurance,english
"Further, the 150,000,000 (one hundred and fifty million) stock warrants previously ceded to Mitchell S.",general,english
"Subject to the terms and conditions of this Agreement, as of the Distribution Date, SpinCo hereby grants to Nuance and the members of the Nuance Group a worldwide, non-exclusive, fully paid-up, perpetual and irrevocable, transferable (subject to ARTICLE VIII), sublicensable (subject to Section 4.01(g)) license under the SpinCo Patents, solely to the extent that claims of the SpinCo Patents cover products or services of the Nuance Business in the Nuance Field of Use, together with natural extensions and evolutions thereof, in each case to make, have made use, sell, offer for sale, import and otherwise exploit such products and services, together with natural extensions and evolutions thereof.",license_grant,english
"IN NO EVENT SHALL EITHER PARTY BE HELD RESPONSIBLE FOR ANY SPECIAL, INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOSS OF PROFIT ARISING OUT OF THE USE OF ANY JOINT INTELLECTUAL PROPERTY, CERES INTELLECTUAL PROPERTY, IGER INTELLECTUAL PROPERTY, OTHER RESEARCH RESULTS OR BACKGROUND INTELLECTUAL PROPERTY COVERED BY THIS AGREEMENT OR ANY SCHEDULE OR ARISING OUT OF THE IMPLEMENTATION OF THIS AGREEMENT, EVEN IF SUCH PARTY IS ADVISED IN ADVANCE OF THE POSSIBILITY OF SUCH DAMAGES.",liability_cap,english
in each case without regard to conflict of laws principles that would require the application of the laws of another jurisdiction.,governing_law,english
"Additionally, Network will procure on or before the Affiliate Launch Date, and shall maintain during the Term, at its sole expense, Errors and Omissions insurance that covers Network's media activities at a liability limit of $1,000,000 in any one (1) policy period.",insurance,english
"These records shall be available for examination during normal business hours by accountants representing the other Party, who shall be entitled to perform an audit and to make copies and extracts, and receive any explanations that may reasonably be requested.",audit_rights,english
"This Agreement is subject to and governed by the laws of the State of Delaware, U.S.A. (without regard to conflict of law principles).",governing_law,english
"If Intuit elects to provide advertising, sponsorship or other ------- promotional space on all or any portion of the Intuit Sites for a Client Competitor, Intuit agrees to negotiate with Client in good faith regarding such promotional opportunity.",non_compete,english
(c) Vyera breaches its obligations or covenants under Section 2.6 (Competitive Products);,non_compete,english
"The Licensors shall have the right, upon reasonable notice, to inspect COMPANY'S books and records and all other documents and material in COMPANY'S possession or control with respect to the Content each has or might license to CONTENT PROVIDER which becomes the subject matter of this Agreement (and only with respect to Content each has or might license to CONTENT PROVIDER which become the subject matter hereof).",audit_rights,english
The foregoing right of review may be exercised only once per year and only once with respect to each periodic report and payment delivered in accordance with Section 6.2.,audit_rights,english
"IBM grants Customer an irrevocable, nonexclusive, worldwide, paid-up license to use, execute, reproduce, display, and perform copies of such Materials and distribute within Customer's Affiliates only.",license_grant,english
JHU shall have the right to audit any and all Company records related to this Agreement.,audit_rights,english
"access is reasonably required by the other, including without limitation, for audit, accounting and litigation purposes.",audit_rights,english
"In the event of termination of this Agreement and without limitation of Fox's rights and remedies all of which are expressly reserved, the following payment penalties shall apply: (i) if termination occurs in the first year of the Term, Licensee shall forfeit any Guarantee paid, and shall immediately pay any remaining Guarantee, up to the amount of ***** dollars (US$*****), and any Guarantee payments made in excess of ***** dollars ($*****) shall be refunded by Fox to Licensee; and (ii) if termination occurs in the second year of the Term, Licensee shall forfeit any Guarantee paid, and shall immediately pay any remaining portion of the Guarantee then unpaid, up to the amount of ***** dollars (US$*****). An",penalty,english
We will have the right to terminate the Ad Fund by giving you thirty (30) days' advance written notice.,termination,english
"The rights granted herein include the limited license to use the Trademarks of the Franchisor (the details of which are morefully set out in Exhibit A), as set out in Section 3 of this Agreement, for the purposes of establishing and operating the Smaaash Centres in the Territory.",license_grant,english
"This Agreement shall be governed by and construed in accordance with, the laws of the State of New York applicable to contracts executed in and to be performed in that State. All actions arising out of or relating to this Agreement shall be heard and determined exclusively in any New York state or federal court sitting in the Borough of Manhattan of The City of New York.",governing_law,english
"Sonos hereby authorizes IAC to use and to cause its Affiliates to use, the Marks as specified by Sonos on the Products and relevant documents solely for the purpose of this Agreement",license_grant,english
The terms of this provision shall not be impaired by termination of this Agreement 23.,general,english
"Bank of America may terminate Maintenance Services for convenience at any time in accordance with the Section entitled ""Termination"" of the Agreement.",termination,english
"Eutectix shall, at its own expense: (c) keep the Licensed Equipment in a suitable place, safe from loss or damage; (d) subscribe to an insurance policy from an insurance company reasonably acceptable to Eutectix covering the Licensed Equipment at full replacement value against fire, theft and such other normal business risks, with a waiver of subrogation in favor of Liquidmetal and with Liquidmetal to be named as an additional insured and loss payee, and provide, upon receipt of a written request from Liquidmetal, a certificate evidencing such insurance, and comply with all requirements associated with such insurance policy;",insurance,english
"This Agreement will be governed in all respects by the laws of the State of Ohio (without regard to conflicts of law provisions), as such laws are applied to agreements entered into and to be performed entirely within the State of Ohio between Ohio residents.",governing_law,english
"To the extent that either party owns Intellectual Property Rights to specific biomarkers, targets, kits, dyes or technology utilized in the Assay other than for the capture and detection of CTCs, it will, to the extent it is able, grant during the Term of the Agreement, a non-exclusive license to the other party to practice these Intellectual Property Rights for the Assay.",license_grant,english
"The Manufacturer agrees that the Customer has the right under this agreement to consider, source, promote, market and sell other product outside of the products listed in Schedule A of this agreement in line with the following assumptions: That they are non-competing products to the range of products or those products listed in schedule A of this agreement.",non_compete,english
Any of the Participants will have the right to request an audit of the Joint Venture books.,audit_rights,english
"AIG shall have the absolute right to terminate this Agreement upon thirty (30) days' prior written notice to the Company, which notice shall state the effective date of termination (the ""Termination Date""); provided, however, that AIG agrees not to terminate this Agreement unless (a) AIG significantly modifies the 3 corporate structure or ownership of the Company, or (b) AIG sells the Company to an acquirer, in each case, (i) having a rating from at least one of S&P, Moody's, A.M.",general,english
"All act which may damage the right of user of Baidu promotion, damage user experience, disturb market cooperation order of the Union, adversely affect Baidu product and business reputation of Baidu, constitute unfair competition against Baidu or violate legal right of Baidu are forbidden by the Union, including but not limited to:",non_compete,english
"If MPL is in compliance with the terms and conditions of this Agreement, and Shipper decides to terminate this Agreement after the Effective Date but prior to the commencement of transportation service on the Pipeline, Shipper shall notify MPL of its decision to terminate within one hundred and eighty (180) days of the Project's in-service date to allow MPL the opportunity to provide Shipper's unwanted capacity to other interested shippers as Unsubscribed Capacity as set forth in Section 3.8.",termination,english
WGT giving Distributor ninety (90) days' advance written notice of termination at any time after the expiration of the Initial Term.,termination,english
"Application Provider will not serve advertising on the Co-Branded Application for any ""Excite@Home Named Competitor,"" as specified in EXHIBIT E.",non_compete,english
"This Agreement shall be governed by and construed in accordance with the internal laws of the State of California applicable to agreements made and to be performed entirely within such state, without regard to the conflicts of law principles of such state; provided that any matters relating to the construction or effect of any Patent will be governed by the patent laws of the relevant jurisdiction in which such Patent is granted.",governing_law,english
No Transfer without Our Prior Written Consent.,general,english
"During the Term, PaperExchange shall not place any advertisements on the PaperExchange Site from any Pulp and Paper Online Competitor.",non_compete,english
"""Note Pool Factor"" means, for a Class and a Payment Date, a seven-digit decimal figure equal to the Note Balance of the Class after giving effect to any payments of principal of the Class on that Payment Date divided by the initial Note Balance of the Class.",general,english
"You further acknowledge and agree that we may inspect your Franchised Business and any Unit Franchise in the Master Territory to verify that your Franchised Business and/or such Unit Franchise is operating in compliance with our System, as it may be modified from time to time.",audit_rights,english
"During the Term and subject to the terms, conditions, and limitations set forth in this Agreement, Client grants EFS a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license to use, modify, create derivative works of, publish, reproduce, broadcast, exhibit and display the Playboy Content solely in connection with the design, publication, distribution, operation and promotion of the Playboy Commerce Business.",license_grant,english
"NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS, OR ANY SPECIAL, CONSEQUENTIAL, INCIDENTAL, OR INDIRECT DAMAGES ARISING FROM OR RELATING TO ANY BREACH OF THIS AGREEMENT, REGARDLESS OF ANY NOTICE OF THE POSSIBILITY OF SUCH DAMAGES. NOTWITHSTANDING THE FOREGOING,",liability_cap,english
"Newegg grants Allied a revocable, non-transferrable, non-assignable (whether voluntarily, or as a result of a change of control, or by operation of law), non-sublicensable, non-exclusive and limited license to use, during the Term, the Newegg Marks solely in connection with Allied's marketing and conduct of the Arena.",license_grant,english
"THE LIABILITY OF EXCITE FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE AMOUNTS ACTUALLY PAID BY SPONSOR TO EXCITE HEREUNDER.",liability_cap,english
Termination by Both Parties 13 Section 9.02.,general,english
"Further, Marketing Affiliate shall not market similar products from competing companies on any Web Site Landing Page containing the Equidata or Marketing Affiliate Web link as long as this Agreement is in effect.",non_compete,english
If Shipper fails to notify MPL within one hundred and eighty (180) days of the Project's in-service date or if MPL is unsuccessful in obtaining additional volume commitments as provided for in Section 3.8 to,penalty,english
"Once approved by us, such final plans may not be changed or modified without our prior written consent.",general,english
"If Party A discovers that Party B has violated the Integrity Agreement attached hereto by bribing Party A's working personnel, Party A may elect to impose a penalty of RMB10,000 to 100,000, suspend cooperation for 1-3 years or terminate the cooperation depending on the seriousness of the violation and the consequences thus brought about, and any loss thus incurred to Party A shall be borne by Party B",penalty,english
"Therefore, during the term of this Agreement, neither you, nor any Principal Owner, nor any member of your immediate family or of the immediate family of any Principal Owner, shall perform services for, or have any direct or indirect interest as a disclosed or beneficial owner, investor, partner, director, officer, employee, manager, consultant, representative, or agent in, any business that offers products or services the same as or similar to those offered or sold at The Joint Corp. Location franchises.",non_compete,english
"Datec must give, and must ensure that its Subcontractors give, BSP and their Personnel, (including internal and external auditors and advisers) full access at all reasonable times and on reasonable notice to: (a) any premises at which or from which Datec supplies the Services (b) the Supplier Personnel; and (c) equipment, Software systems, data, accounts, documents and records relating to the Services provided both by Datec and by its Subcontractors, but excluding information relating to the Datec's internal costs and margins for the Services, in order to enable the BSP to audit Datec's compliance with this agreement and for operational risk reasons.",audit_rights,english
"Neither Franchisee nor any of its Owners shall divert or attempt to divert any business or any customers of any Pretzel Time Unit to any Competitive Business or employ or seek to employ any person who is employed by Pretzel Time, its Affiliates or a franchisee of Pretzel Time nor induce or attempt to induce any such person to leave said employment without the prior written consent of such person's employer.",non_compete,english
"Producer further grants to ConvergTV the right and license to create (re-edit), at its sole cost and expense, new and different versions of the Program, create foreign language, subtitled or translated versions of the Program as well as to create closed captioned versions of the Program, including NTCS, PAL, SEACAM standards, or other standards, including those yet to be developed.",license_grant,english
"Supplier shall furnish Buyer with a certificate from its insurer verifying that it has the above insurance in effect during the duration of this Agreement and that insurer acknowledges (a) the contractual liability assumed by Supplier in this Agreement and (b) that Buyer is an additional insured on such policies and (c) Supplier's CGL policy is primary and Buyer's CGL policy is non-contributory and (d) a waiver of subrogation shall be provided in favor of Buyer on the CGL, Workers' Compensation and Auto policies.",insurance,english
"Client and its nominees, employees, agents and representatives shall have the right to enter upon and inspect, at all reasonable hours of the day, any and all such location(s) and to take, without payment, individual samples of any of the EFS Produced Merchandise and the Materials as Client reasonably requires for the purposes of such inspection.",audit_rights,english
"Term to use, reproduce and display the Sponsor Marks in connection with advertising and promotion of Sponsor and its sponsorship.",license_grant,english
"Each Party shall keep, and shall require its Affiliates and Sublicensees to keep, full, true and accurate books of account containing all particulars that may be necessary for the purpose of calculating all payments payable under this Agreement, including, for Roche, the right to audit materials necessary to ensure compliance with the most favored customer provisions of Article 5.",audit_rights,english
"Member covenants and agrees that during the Post-Term Period (defined below), except as otherwise approved in writing by Franchisor, Member shall not, either directly or indirectly, own, manage, engage in, be employed by, advise, make loans to, consult for, or have any other interest in any Competitive Business that is, or intends to operate, within a three (3) mile radius of the premises of your Franchised Business or within a three (3) mile radius of any Franchised Business then-operating or under construction to operate under the System.",non_compete,english
"This Agreement shall be in effect until March 18. 2021, unless sooner terminated by either party upon (30) days written notice, without cause.",termination,english
"Notwithstanding the foregoing, either party may terminate this Agreement at any time without liability by providing one hundred eighty (180) days written notice to the other party.",termination,english
"During the term of this Agreement, except in the performance of its obligations or exercise of its rights under this Agreement, neither OntoChem nor any of its Affiliates will discover, research, develop, manufacture or commercialize any compound or product directed to any Target, either independently or for or in collaboration with a third party (including the grant of a license to any third party), or have any of the foregoing activities performed on behalf of OntoChem or any of its Affiliates by a third party.",non_compete,english
"IN NO EVENT WILL EITHER PARTY BE RESPONSIBLE FOR LOST PROFITS OR SPECIAL INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES WHICH ABW OR PCQ INCUR OR EXPERIENCE ON ACCOUNT OF ENTERING INTO OR RELYING ON THIS AGREEMENT, EVEN IF PCQ OR ABW HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",liability_cap,english
"Additional certificates evidencing the insurance required by Section 15.1 above must name us, and each of our affiliates, directors, agents, and employees, as additional insured parties, and must expressly provide that any interest of same therein will not be affected by any breach by you of any policy provisions for which such certificates evidence coverage.",insurance,english
"Upon Acceptance as provided in Clause 9.2 HealthGate shall deliver into escrow the source code, source listings and information for the Proprietary Software included in the System in accordance with the terms of the Escrow Agreement.",general,english
"Reseller shall not import, promote, distribute, license, market or sell any products in",non_compete,english
"Except as otherwise indicated, in all other respects, the right and obligations of the Parties under this Agreement shall be governed by and construed in accordance with the laws of the ***.",governing_law,english
"In the event that following the delay, Contractor is in compliance with the Due Dates for two immediately consecutive Quarters and there is no delay whatsoever, Contractor will be reimbursed by NICE for liquidated damages already paid for delay in the previous Quarter (before the said 2 Quarters), if paid, without derogating from the previous delay being regarded as a breach hereunder.",penalty,english
Each party agrees to carry liability insurance sufficient to cover the risks posed under this Agreement.,insurance,english
